" important for async scenario we must remove context from current thread so we always createnew rpccontext for  next invoke for  same thread	 ",positive
" todo to move somewhere else better	 ",positive
" fixme now we need to check first n load	 ",positive
" todo contextsessions is  best option here in jetty x it becomes servletcontexthlersessions	 ",positive
" todo move names to constants	 ",positive
" ignore concurrent problem 	 ",positive
" todo add this to provider config	 ",positive
" special treatment of array values was suggested by lizongbo 	 ",positive
" todo we should leave this setting to slf j	 ",positive
" fixme when  thread pool is full server threadpool exhausted error cannot return properly refore  consumer side has to wait until gets timeout this istemporary solution to prevent this scenario from happening butbetter solution should be considered later	 ",positive
"  initial value is null   midway may be assigned to null please use  local variable reference	 ",positive
" fixme request context	 ",positive
" for example object transported on  wire doesn t implement serializable	 ",positive
" bug dubbo 	 ",positive
" fixme log error message in codec  hle in caught of iohanndler 	 ",positive
" re may be some problem hling chinese negative number recognition ignoring this problem  backspace key is only meaningfully input inreal telnet program	 ",positive
" this ut is unstable consider remove it later see httpsgithubcomapachedubboissues 	 ",positive
" bug dubbo 	 ",positive
" todo do more sophisticated exception hling  output	 ",positive
" todo for now kryo serialization doesn t deny classes that don t implement  serializable interface pre eg ltdubboprotocol serializationkryo gt pre 	 ",positive
" todo users can override this mapper but we just rely on  current priority strategy of resteasy	 ",positive
" fixme waiting for embedded nacos suport n we can open  switch	 ",positive
" todo generic invoker 	 ",positive
" fixme this instance will always betype of dynamicconfiguration configcenterconfig will load  instance at startup  assign it to here 	 ",positive
" todo do not want to use spaces see dubbo url class hles special conventions for special characters	 ",positive
" hack use reflection to get  shared channel	 ",positive
" todo notification failure does not restore mechanism guarantee	 ",positive
" todo fix npe contextisproviderside	 ",positive
" todo we needs use force writing to file so that buffer gets clear  new log can be written	 ",positive
" reselect before retry to avoidchange of cidate invokers note if invokers changed n invoked also lose accuracy	 ",positive
" todo load as spi will be better 	 ",positive
" fixme reject exception can not be sent to consumer because thread pool is full resulting in consumers waiting till timeout	 ",positive
" todo refactor using mockito 	 ",positive
" generallyclient can only be closed once here it is closed twice counter is incorrect	 ",positive
" todotemporary solution to  problem that  exception information can not be sent to  opposite end after  thread pool is full needrefactoring fix  thread pool is full refuses to call does not return  causes  consumer to wait for time out	 ",positive
" todo in  future maybe we can just usesingle rest client  connection manager	 ",positive
" todo solve merge problem constantsdefault stub event	 ",positive
" fixmehack to make orgapachedubboremotingexchangesupportdefaultfutureclosechannel work	 ",positive
" is  buffer big enough 	 ",positive
" bug dubbo in version config retryfalse on provider s method doesn t work	 ",positive
" fixme this exposes  design flaw in routerchain	 ",positive
" fixme response context	 ",positive
" todo jetty will by default enable keepalive so  xml config has no effect now	 ",positive
" cannot write not available 	 ",positive
" todo wrapper cannot hle this scenario correctly  classname contains 	 ",positive
" on server side thrift can not hle exceptions not declared in idl	 ",positive
" todo assert error log	 ",positive
" this class represents an unfinished rpc call it will hold some context information for this call for example rpccontext  invocation so that when  call finishes   result returns it can guarantee all  contexts being recovered as  same as when  call was made before any callback is invoked p todo if it s reasonable or even right to keepreference to invocation p as link result implements completionstage link asyncrpcresult allows you to easily buildsync filter chain whose status will be driven entirely by  state of  underlying rpc call p asyncrpcresult does not contain any concrete value except  underlying value bring by completablefuture consider it asstatus transfer node link getvalue  link getexception are all inherited from link result interface implementing m are mainly for compatibility consideration because many legacy link filter implementation are most possibly to call getvalue directly 	 ",positive
" fixme should put exception in future 	 ",positive
" dubbo methods key in provider s urlone doesn t contain  methods from inherited super interface	 ",positive
" contextfiltertestjava todo need to enhance assertion 	 ",positive
" fixme this code looks useless	 ",positive
" todo due to dubbo s current architecture it will be called from registry protocol in  shutdown process  won t appear in logs	 ",positive
" todo can we load successfully fordifferent classloader 	 ",positive
"  status input hasproblem   read information is wrong when  serialization is serialized	 ",positive
" fixme not sure why abstractreferenceconfig has both isgeneric  getgeneric	 ",positive
" fixme result is an asyncrpcresult instance	 ",positive
" fixme should cancel  restart timer tasks if parameters in  new url are different 	 ",positive
" todo extract more code here if necessary 	 ",positive
" fixme rmi protocol doesn t support casting to echoservice yet	 ",positive
" dubbo s original impl can t support  use of servletcontext serveraddhlerservlethler	 ",positive
" deprecated subscribe to override rules in x or before	 ",positive
" subscribe  override data fixme when  provider subscribes it will affect  scenecertain jvm exposes  service  call  same service because  subscribed is cached key with  name of  service it causes 	 ",positive
" should be called after config was fully initialized fixme this method should be completely replaced by appendparameters return see abstractconfig appendparametersmap object string p notice this method should include all properties in  returning map treat parameter differently compared to appendparameters 	 ",positive
" todo can  value returned by getchannel be null need improvement	 ",positive
" todo to support wildcards	 ",positive
" fixme cannot guarantee  sequence of  merge result check implementation in mergeableclusterinvoker invoke	 ",positive
